"일자","시간","시가","고가","저가","종가","5","10","20","60","120","거래량","5","20","40","60"
"20201125","0.54166666666667","2627","2627.87","2583.41","2590.74","2616.33","2613.32","2581.95","2510.26","2425.57","308907000","331023200","321686950","306128700","297407950"
"20201125","0.45833333333333","2628.73","2637.11","2624.34","2627.51","2622.78","2613.87","2579.68","2506.34","2423.82","254746000","317981400","317005300","305880875","296911483"
"20201125","0.375","2637.34","2642.26","2623.75","2629.88","2621.83","2606.47","2575.61","2501.89","2421.86","674543000","407809800","313662250","306009525","296428200"
"20201124","0.625","2614.64","2620.65","2614.64","2617.76","2616.37","2598.33","2571.34","2497.33","2419.83","127879000","304884800","302171800","304329425","291776633"
"20201124","0.54166666666667","2624.13","2624.15","2610.16","2615.78","2613.11","2591.13","2567.41","2492.76","2418.04","289041000","353442800","301399150","303380500","290865450"
"20201124","0.45833333333333","2621.71","2628.52","2619.24","2622.96","2610.3","2584.62","2563.67","2488.21","2416.25","243698000","384173200","301232200","303802450","290233150"
"20201124","0.375","2616.28","2627.58","2605.03","2622.78","2604.96","2577.07","2560.02","2483.48","2414.32","703888000","470666200","300428500","305558375","288899267"
"20201123","0.625","2601.77","2605.58","2600.13","2602.59","2591.11","2569.02","2555.88","2478.75","2412.41","159918000","348089000","297321200","306820975","283825617"
"20201123","0.54166666666667","2601.83","2604.08","2597.48","2601.44","2580.29","2562.23","2552.91","2473.71","2410.75","370669000","365682600","294020700","305179850","282367133"
"20201123","0.45833333333333","2596.46","2604.92","2593.68","2601.74","2569.15","2556.19","2549.97","2468.7","2409.09","442693000","352332800","289714050","304131175","278639933"
"20201123","0.375","2560.04","2597.97","2553.7","2596.27","2558.94","2550.58","2546.91","2463.48","2407.45","676163000","361132600","283671700","300148000","273622100"
"20201120","0.625","2548.95","2554.39","2548.95","2553.5","2549.17","2545.49","2543.65","2458.45","2405.87","91002000","242361800","276805800","299456450","267643250"
"20201120","0.54166666666667","2545.51","2552.65","2542.87","2548.52","2546.94","2544.75","2540.67","2453.68","2404.52","247886000","269281200","276411150","299550725","267795533"
"20201120","0.45833333333333","2549.58","2554.11","2544.19","2545.72","2544.16","2544.35","2537.83","2449.25","2403.25","303920000","274632600","275087300","298695625","267131333"
"20201120","0.375","2544.06","2558.21","2539.79","2550.7","2543.23","2543.69","2534.62","2445.09","2402.02","486692000","292635000","269777800","295678575","265617767"
"20201119","0.625","2542.53","2548.95","2542.19","2547.42","2542.22","2542.72","2530.48","2441.13","2400.69","82309000","210418800","273949950","291858150","262078000"
"20201119","0.54166666666667","2534.27","2545.78","2531.73","2542.33","2541.8","2542.97","2526.89","2437.45","2399.35","225599000","237011800","276372050","291471450","261712717"
"20201119","0.45833333333333","2541.08","2541.31","2529.53","2534.64","2542.56","2542.74","2523.81","2433.85","2398.03","274643000","229469000","278465450","289302150","259720200"
"20201119","0.375","2536.89","2544.12","2531.18","2541.06","2544.54","2543.58","2520.88","2429.97","2396.7","393932000","263487200","277018250","285530450","256785900"
"20201118","0.625","2544.75","2547.67","2544.39","2545.64","2544.16","2543.75","2518.04","2426.15","2395.29","75611000","207186000","289060350","284997000","254299417"
"20201118","0.54166666666667","2545.89","2549.23","2542.41","2545.33","2543.23","2543.24","2515.05","2422.81","2393.79","215274000","249204200","290570450","285268450","254086550"
"20201118","0.45833333333333","2543.72","2547.73","2536.82","2546.15","2544.13","2541.82","2512.02","2419.43","2392.28","187885000","251674200","294756450","286864575","253007233"
"20201118","0.375","2548.85","2553.95","2536.78","2544.52","2542.92","2536.59","2508.73","2415.79","2390.82","444734000","342445600","298356800","287811175","252580783"
"20201117","0.625","2540.16","2542.54","2536.76","2539.15","2542.63","2531.31","2505.38","2412.22","2389.37","112426000","272280400","306487050","286579050","250670517"
"20201117","0.54166666666667","2550.21","2551.59","2533.34","2540.98","2543.35","2525.54","2501.06","2408.75","2387.86","285702000","306702400","305361850","285598600","249956117"
"20201117","0.45833333333333","2539.56","2550.87","2536.14","2549.85","2543.25","2518.25","2496.62","2405.11","2386.37","227624000","313931200","306372700","284733625","247599017"
"20201117","0.375","2544.12","2556.09","2539.67","2540.12","2539.5","2510.82","2491.21","2401.63","2384.75","641742000","376175400","310688250","283134650","246055383"
"20201116","0.625","2541.28","2543.19","2538.53","2543.03","2530.25","2504.87","2486.92","2398.4","2383.2","93908000","264448800","316320750","277077825","240661300"
"20201116","0.54166666666667","2540.83","2546.37","2537.83","2542.75","2519.99","2498.19","2482.13","2395.08","2381.41","284536000","289949000","316339000","276540350","240365083"
"20201116","0.45833333333333","2530.64","2544.38","2530.64","2540.51","2507.74","2492.34","2477.38","2391.81","2379.63","321846000","272587800","318548300","273102875","238459600"
"20201116","0.375","2507.46","2534.56","2507.46","2531.09","2493.24","2486.87","2472.88","2388.68","2377.86","538845000","322245600","316624300","268597300","235657350"
"20201113","0.625","2490.8","2495.3","2488.88","2493.87","2482.15","2482.23","2468.72","2385.77","2376.15","83109000","240626800","322107100","263061975","233713500"
"20201113","0.54166666666667","2481.06","2495.77","2480.41","2491.71","2479.49","2480.88","2464.85","2383.55","2374.6","221409000","277498400","322690300","263487725","233643867"
"20201113","0.45833333333333","2467.63","2482.15","2466.51","2481.51","2476.38","2479.45","2460.92","2381.36","2373.08","197730000","282356400","322303950","263153350","233241267"
"20201113","0.375","2470.12","2482.39","2460.96","2468.03","2476.93","2476.58","2457.64","2379.41","2371.65","570135000","369765200","321579350","263537750","233120067"
"20201112","0.625","2481.67","2484.33","2474.9","2475.62","2480.5","2475","2455.19","2377.5","2370.3","130751000","276900800","309766350","256142025","230680183"
"20201112","0.54166666666667","2476.55","2481.77","2467.04","2480.58","2482.3","2471.6","2452.09","2375.49","2368.66","267467000","310549400","306570850","254383050","229942800"
"20201112","0.45833333333333","2483.83","2487.13","2473.53","2476.18","2482.26","2468.98","2448.5","2373.35","2367.02","245699000","309034400","300138850","250347575","229065267"
"20201112","0.375","2482.68","2488.79","2471.07","2484.25","2482.51","2466.08","2444.69","2371.2","2365.44","634774000","381362400","294042650","246669725","227248300"
"20201111","0.625","2484.66","2486.31","2482.67","2485.87","2476.23","2462.43","2440.21","2369.11","2363.8","105813000","272392000","280933650","236918950","222962200"
"20201111","0.54166666666667","2479.57","2488.04","2477.22","2484.63","2469.49","2458.89","2433.78","2367.19","2362.02","298994000","312413200","279966450","235844600","222400367"
"20201111","0.45833333333333","2477.21","2482.88","2475.77","2480.37","2460.89","2455.21","2427.32","2365.26","2360.31","259892000","315401400","278972700","232132625","220806050"
"20201111","0.375","2459.5","2478.34","2459.5","2477.44","2455.7","2448.82","2421.34","2363.33","2358.69","607339000","414301400","277265550","229692775","218955017"
"20201110","0.625","2451.62","2453.67","2448.91","2452.83","2449.65","2442.4","2415.28","2361.49","2357.14","89922000","311688200","266671050","222762250","215308850"
"20201110","0.54166666666667","2441.4","2453.49","2440.5","2452.2","2448.62","2438.69","2409.81","2359.92","2356.14","305919000","359448200","265835350","222253250","214977400"
"20201110","0.45833333333333","2453.46","2456.9","2440.63","2441.62","2448.28","2435.37","2404.32","2358.25","2355.21","313935000","354937600","263094550","218212175","212898450"
"20201110","0.375","2453.95","2457.94","2435.59","2454.39","2449.52","2432.59","2399.21","2356.46","2354.21","754392000","421850800","255581050","213738950","210180683"
"20201109","0.625","2447.34","2449.07","2441.14","2447.2","2441.94","2428.03","2393.44","2354.47","2353.1","94273000","289927000","237834900","202831575","205477600"
"20201109","0.54166666666667","2450.3","2455.78","2446.54","2447.71","2435.15","2423.31","2386.08","2352.79","2352.15","328722000","313808800","236741700","202378125","205737833"
"20201109","0.45833333333333","2448.03","2452.07","2440.88","2450.49","2428.76","2417.99","2378.74","2351.12","2351.14","283366000","284712000","227657450","198415250","204044867"
"20201109","0.375","2438.63","2459.15","2434.52","2447.81","2422.47","2408.67","2370.65","2349.55","2350.28","648501000","294813800","220570300","195173875","202333600"
"20201106","0.625","2412.89","2416.85","2412.28","2416.5","2415.66","2399.44","2363","2348.14","2349.5","94773000","178481800","204016850","189516700","198423983"
"20201106","0.54166666666667","2416.08","2417.97","2404.97","2413.24","2414.11","2393.86","2355.53","2346.89","2349.27","213682000","187292600","204285150","189120650","197973183"
"20201106","0.45833333333333","2418.93","2420.57","2409.9","2415.74","2411.46","2388.17","2348.99","2345.76","2349.11","183238000","169311200","204002750","188709925","197594100"
"20201106","0.375","2421.79","2431.11","2407.46","2419.04","2407.22","2380.92","2343.02","2344.5","2349.04","333875000","207182400","205496150","188890425","197540300"
"20201105","0.625","2408.63","2413.79","2406.38","2413.79","2394.88","2373.27","2337.72","2343.34","2349","66841000","157701200","202517700","191137100","200001267"
"20201105","0.54166666666667","2399.67","2409.59","2395.35","2408.73","2383.22","2365.82","2333.37","2342.47","2348.99","138827000","200156800","202195250","191628775","200379667"
"20201105","0.45833333333333","2394.64","2400.41","2386.3","2400.02","2373.61","2358.85","2329.24","2341.71","2349.02","123775000","217541200","200556300","193528475","202232917"
"20201105","0.375","2373.41","2396.13","2370.85","2394.52","2364.87","2348.86","2324.33","2341.07","2349.06","372594000","271876000","199296800","193851125","203690267"
"20201104","0.625","2354.28","2359.15","2350.74","2357.32","2354.63","2339.48","2320.21","2340.49","2349.19","86469000","211998800","192904250","193976475","207725667"
"20201104","0.54166666666667","2361.62","2364.11","2352.92","2355.51","2351.66","2332.62","2319.6","2340.88","2349.59","279119000","244925600","191722750","193617325","207896950"
"20201104","0.45833333333333","2357.49","2365.83","2343.78","2360.7","2348.43","2326.55","2318.94","2341.29","2350.03","225749000","221834800","185292550","191722725","207506150"
"20201104","0.375","2361.32","2371.14","2339.95","2356.3","2344.08","2317.2","2317.31","2341.83","2350.38","395449000","256578800","182120000","189799750","207026550"
"20201103","0.625","2342.16","2343.38","2338.85","2343.31","2332.85","2309.82","2316","2342.33","2350.89","73208000","191970800","178853450","189627750","206298833"
"20201103","0.54166666666667","2339.61","2342.57","2327.72","2342.49","2324.34","2305.12","2315.38","2343.32","2351.66","251103000","206736600","178671150","189548425","206151383"
"20201103","0.45833333333333","2339.89","2344.77","2336.99","2339.34","2313.58","2302.18","2314.38","2344.3","2352.43","163665000","184840600","173329800","187800400","204625933"
"20201103","0.375","2315.81","2340.05","2315.3","2338.97","2304.68","2300.91","2314.47","2345.16","2353.31","399469000","215594000","171896850","187480500","205139517"
"20201102","0.625","2299.22","2302.64","2298.86","2300.16","2290.31","2299.63","2314.83","2346.06","2354.22","72409000","155728000","167828250","189298950","203590083"
"20201102","0.54166666666667","2289.4","2301.75","2287.91","2300.73","2286.79","2299.8","2317.02","2347.79","2355.42","147037000","182853000","168014550","190235900","203442633"
"20201102","0.45833333333333","2294.73","2295.2","2284.39","2288.71","2285.9","2300.93","2319.32","2349.49","2356.6","141623000","196066800","169173050","192238575","204304450"
"20201102","0.375","2276.61","2298.16","2267.95","2294.82","2290.77","2306.59","2322.53","2351.41","2357.89","317432000","222603400","169777450","193215250","204542150"
"20201030","0.625","2282.77","2283.14","2266.93","2267.15","2297.14","2311.32","2325.59","2353.28","2359.04","100139000","171195400","175016550","195627550","206341300"
"20201030","0.54166666666667","2297.54","2305.1","2279.98","2282.52","2308.94","2317.42","2330.27","2355.36","2360.38","208034000","172377200","173956150","194817200","206741733"
"20201030","0.45833333333333","2314.07","2314.07","2296.32","2296.32","2312.81","2322.18","2334.15","2357.26","2361.57","213106000","150487400","173417100","194389775","208103867"
"20201030","0.375","2319.56","2320.2","2305.01","2313.03","2315.96","2325.63","2337.57","2358.95","2362.61","274306000","156814800","172284700","193562375","206823617"
"20201029","0.625","2325.53","2330.17","2325.27","2326.67","2322.4","2326.59","2339.61","2360.25","2363.58","60392000","114521400","179756500","198743050","209110317"
"20201029","0.54166666666667","2301.28","2326.62","2301.03","2326.14","2325.5","2328.04","2341.02","2361.25","2364.16","106048000","132546000","181062300","199471875","209243717"
"20201029","0.45833333333333","2310.52","2311.51","2299.91","2301.9","2325.9","2330.03","2342.3","2362.21","2364.74","98585000","143796000","186500650","203071225","210635450"
"20201029","0.375","2312.34","2320.64","2301.3","2312.05","2331.55","2334.23","2344.57","2363.42","2365.39","244743000","190102600","188405450","205887000","211584633"
"20201028","0.625","2341.24","2345.46","2341.12","2345.26","2335.3","2337.71","2346.91","2364.43","2365.96","62839000","155066400","195048700","215136375","212914083"
"20201028","0.54166666666667","2327.29","2343.24","2326.41","2342.17","2330.78","2338.47","2348.19","2364.77","2366.39","150515000","171353800","195511900","215984050","212928500"
"20201028","0.45833333333333","2329.24","2330.76","2323.5","2328.14","2330.58","2339.85","2349.51","2365.13","2366.92","162298000","168252000","198152900","218612950","213509100"
"20201028","0.375","2324.18","2334.2","2316.47","2330.11","2334.16","2343.12","2351.33","2365.84","2367.5","330118000","199411800","197479500","219479825","214264217"
"20201027","0.625","2324.13","2331.14","2324.13","2330.84","2336.92","2346.13","2353.19","2366.53","2368.06","69562000","148615200","200402050","220021525","215513817"
"20201027","0.54166666666667","2340.83","2343.6","2322.17","2322.64","2340.11","2349.5","2354.57","2366.98","2368.43","144276000","168744200","200425700","219891500","215649650"
