"일자","시가","고가","저가","종가","5","10","20","60","120","거래량","5","20","40","60"
"20201125","2637.34","2642.26","2583.41","2601.54","2584.56","2552.01","2466.55","2400.29","2312.55","1410104000","1306007200","1089400050","953459350","979003933"
"20201124","2616.28","2628.52","2605.03","2617.76","2573.38","2540.45","2453.73","2396.01","2308.76","1364506000","1208687200","1054183350","936078775","970734150"
"20201123","2560.04","2605.58","2553.7","2602.59","2557.66","2523.95","2439.39","2391.87","2304.34","1649443000","1189284800","1019305100","920342150","963933667"
"20201120","2544.06","2558.21","2539.79","2553.5","2545.75","2508.41","2426.45","2387.94","2299.86","1129500000","1107223200","977946300","905381775","949302683"
"20201119","2536.89","2548.95","2529.53","2547.42","2533.82","2494.71","2416.82","2384.21","2295.49","976483000","1095799800","965990500","903194100","941298950"
"20201118","2548.85","2553.95","2536.78","2545.64","2519.46","2481.35","2407.2","2380.16","2291.17","923504000","1156241400","957946950","897694925","939453150"
"20201117","2544.12","2556.09","2533.34","2539.15","2507.51","2462.52","2398.46","2375.64","2286.88","1267494000","1225948200","952413600","895950825","939123800"
"20201116","2507.46","2546.37","2507.46","2543.03","2490.24","2442.93","2389.42","2372.66","2282.64","1239135000","1265283000","932753550","883586925","928631650"
"20201113","2470.12","2495.77","2460.96","2493.87","2471.08","2418.65","2379.61","2369.41","2278.07","1072383000","1288428400","917379050","873857750","923141900"
"20201112","2482.68","2488.79","2467.04","2475.62","2455.6","2395.98","2371.99","2367.97","2273.7","1278691000","1239065400","909770150","871125225","921404250"
"20201111","2459.5","2488.04","2459.5","2485.87","2443.24","2381.08","2366.27","2367.34","2269.73","1272038000","1123734600","904110650","861229950","915213033"
"20201110","2453.95","2457.94","2435.59","2452.83","2417.53","2367.02","2361","2366.45","2265.59","1464168000","1066684200","885567550","856043350","906741300"
"20201109","2438.63","2459.15","2434.52","2447.2","2395.62","2354.82","2358.52","2365.88","2261.66","1354862000","951339600","848605150","843095325","896395783"
"20201106","2421.79","2431.11","2404.97","2416.5","2366.22","2344.49","2356.34","2364.86","2257.41","825568000","816067400","823040750","833707700","886891700"
"20201105","2373.41","2413.79","2370.85","2413.79","2336.35","2338.92","2355.12","2363.78","2253.33","702037000","810070800","829848650","843003125","886675467"
"20201104","2361.32","2371.14","2339.95","2357.32","2318.92","2333.05","2353.77","2362.6","2249.26","986786000","771617000","831646500","859228175","888260633"
"20201103","2315.81","2344.77","2315.3","2343.31","2316.51","2334.4","2354.2","2361.84","2245.78","887445000","715413800","825394900","859097175","885835833"
"20201102","2276.61","2302.64","2267.95","2300.16","2314.02","2335.91","2354.94","2360.78","2242.27","678501000","671313000","819203550","872642875","883093517"
"20201030","2319.56","2320.2","2266.93","2267.15","2322.77","2340.57","2356.32","2359.97","2239.23","795585000","700066200","817589400","882811475","882592867"
"20201029","2312.34","2330.17","2299.91","2326.67","2341.5","2348.01","2358.37","2359.67","2236.55","509768000","719026000","808109000","904117275","881661250"
