"일자","시가","고가","저가","종가","5","10","20","60","120","거래량","5","20","40","60"
"20201120","2507.46","2558.21","2507.46","2553.5","2418.37","2384.44","2341.41","2149.07","2139.5","5536116000","4776739400","4245135300","4237789550","3654690733"
"20201113","2438.63","2495.77","2434.52","2493.87","2375.97","2368.76","2321.35","2140.68","2137.28","6442142000","4580591400","4184829400","4174489875","3601168633"
"20201106","2276.61","2431.11","2267.95","2416.5","2355.59","2356.2","2303.39","2133.97","2135.62","4080337000","3957181400","4082702150","4101718650","3538759833"
"20201030","2366.5","2374.5","2266.93","2267.15","2337.87","2349.93","2289.63","2127.85","2134.56","3500331000","3391553000","4119688600","4070073300","3494842317"
"20201023","2352.92","2371.74","2322.06","2360.81","2340.2","2353.67","2282.89","2123.55","2134.93","4324771000","3539667600","4139406600","4043413200","3466927800"
"20201016","2404.18","2418.89","2325.03","2341.53","2350.51","2358.34","2273.94","2117","2134.19","4555376000","3513962200","4193047000","4021781175","3422166200"
"20201008","2330.55","2409.01","2327.83","2391.96","2361.55","2359.35","2258.35","2110.44","2134.07","3325092000","3616975600","4220101050","3989443625","3382123983"
"20200929","2301.16","2339.83","2291.32","2327.89","2356.8","2345.09","2237.26","2102.7","2133.78","1252195000","4250941200","4238007500","3944882375","3363513233"
"20200925","2412.44","2427.17","2267.63","2278.79","2361.99","2332.35","2217.22","2096.2","2134.41","4240904000","4918215400","4357247650","3966914425","3402167933"
"20200918","2418.33","2450.53","2396.33","2412.4","2367.15","2324.59","2200.58","2091.52","2135.85","4196244000","4733473200","4334692950","3932329775","3375575633"
"20200911","2369.85","2407.56","2362.42","2396.69","2366.16","2298.37","2177.33","2085.75","2136.07","5070443000","4747650400","4319546700","3894588275","3355969100"
"20200904","2377.09","2401.78","2326.06","2368.25","2357.16","2273.95","2151.95","2080.71","2136.61","6494920000","4498043200","4301012100","3820196200","3317286633"
"20200828","2309.38","2379.26","2283.48","2353.8","2333.38","2250.59","2129.26","2076.02","2137.38","4588566000","4028573200","4198781800","3709487175","3243910617"
"20200821","2405.84","2419.65","2270.85","2304.59","2302.71","2229.34","2104.61","2071.96","2138.41","3317193000","3990277200","4218940350","3669687525","3205803733"
"20200814","2353.92","2458.17","2349.33","2407.49","2282.03","2212.11","2075.65","2069.06","2139.72","4267130000","4055915000","4293843350","3660993025","3204378233"
"20200807","2251.65","2362.24","2237.04","2351.67","2230.58","2189.55","2041.16","2064.37","2140.42","3822407000","3942189200","4293968000","3611484075","3195337383"
"20200731","2203.48","2281.41","2203.48","2249.37","2190.73","2157.34","2001.89","2060.09","2141.46","4147570000","4043707400","4295571850","3563975950","3177108100"
"20200724","2209.59","2238.86","2183.83","2200.44","2167.79","2129.42","1977.99","2057.14","2143.18","4397086000","4094112800","4281731800","3516687375","3134176667"
"20200717","2170.51","2216.97","2163.07","2201.19","2155.96","2102.1","1969.98","2054.5","2145.09","3645382000","4178708800","4226421250","3465039150","3096358867"
"20200710","2158.95","2206.79","2140.29","2150.25","2142.19","2076.56","1959.27","2051.9","2147.12","3698501000","4228570600","4272125700","3413571950","3080051533"
"20200703","2105.54","2153.54","2087.84","2152.41","2148.51","2056.29","1959.9","2050.33","2149.35","4329998000","4568386200","4230443800","3359468450","3069447900"
"20200626","2126.38","2171.86","2110.51","2134.65","2123.95","2029.95","1964.46","2049.59","2152.19","4399597000","4721678000","4164150350","3309338250","3037259633"
"20200619","2114.41","2154.37","2030.82","2141.32","2091.04","2007.94","1968.32","2050.62","2154.9","4820066000","4578402800","4120735150","3266788675","2993085883"
"20200612","2215.6","2217.21","2084.63","2132.3","2048.24","1979.88","1967.21","2051.25","2157.07","3894691000","4341789200","4020458000","3182419175","2955444267"
"20200605","2037.04","2191","2035.63","2181.87","2010.94","1939.19","1972.9","2052.65","2159.73","5397579000","4320813000","3947419800","3130688400","2932604350"
